,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
LINK MATERIAL STORIES,SEMANA 1,2 septiembre,X DEFINIR,SEMANA 2 ,,10 septiembre,11 septiembre,SEMANA 3,14 septiembre,,X DEFINIR,15 septiembre,17 septiembre,18 septiembre,SEMANA 4,21 septiembre,22 septiembre,SEMANA 5,28 septiembre,30 septiembre
FECHA ,,,,,,,,,,,,,,,,,,,,
HORARIO,,,,,,,,,11:00,16:00,,10:00,9:00,10:00,,,,,,
TIPO,,ESTÁTICA,ESTÁTICA,,,ANIMADA,ESTÁTICA,,ESTÁTICA,ANIMADA,,ESTÁTICA,ESTÁTICA,ESTÁTICA,,ESTÁTICA,ESTÁTICA,,ESTÁTICA,ANIMADA
DISEÑO,,"POST ESTÁTICO – HUMOR | SEGÚN MIS CÁLCULOS


Visual:
Fotografía cenital de una mesa de Between con una calculadora en el centro, acompañada de elementos cotidianos: notebook abierto, libreta, lápiz y una taza de café casi vacía. La escena debe transmitir esa sensación de estar intentando avanzar con el día, pero claramente falta “combustible”.

En la pantalla de la calculadora puede aparecer la palabra CAFÉ como resultado final.

Texto principal:

SEGÚN MIS CÁLCULOS…

TE HACE FALTA CAFÉ. 

Texto complementario:

Por suerte, sabemos dónde encontrarlo.","ST CAFÉ DE REGALO POR TU CUMPLEAÑOS

Visual:
Café Between en primer plano acompañado de una pequeña vela encendida, como si fuera una mini torta de cumpleaños.

Texto:
¡DISFRUTA TU CUMPLE DESDE TEMPRANO!
Si estás de cumpleaños,
tenemos un café de regalo para ti. 

Presenta tu carnet · Lunes a viernes · Todo el día

CTA:
Ven a celebrar a Between.",,,"REEL ANIMADO – CAFÉ BOMBÓN

ESCENA 1

Visual:
Fondo limpio y cálido. Aparece un vaso transparente vacío al centro. Desde lados opuestos entran gráficamente los dos protagonistas: café y leche condensada.

Texto en pantalla:
ÉL: INTENSO.
ELLA: DULCE.

ESCENA 2

Visual:
Animación de la leche condensada cayendo lentamente al vaso y formando la primera capa. Luego entra el café, generando el contraste visual entre ambos.

Texto:
JUNTOS TENÍAN QUE FUNCIONAR.

ESCENA 3

Visual:
Close-up del Café Bombón terminado, destacando sus capas. Luego una cuchara entra en cuadro y comienza a mezclarlas.

Texto:
CAFÉ BOMBÓN 
El equilibrio justo entre café y dulzura.

CIERRE

Visual:
El Café Bombón queda sobre una mesa de Between. Animación sutil de luz, vapor o movimiento alrededor del vaso.
","ST ESTÁTICA – PROMO TO GO | CAFÉ + DULCE

Visual:
Fotografía cenital o en plano 45° de un café Between en formato To Go acompañado de una de las opciones dulces de la promoción. Idealmente, una mano tomando el café y la otra sosteniendo el dulce, transmitiendo una mañana en movimiento. Fondo limpio, luz natural y estética cálida de Between.

Texto en imagen:

UN DULCE COMIENZO
PARA TU MAÑANA.

Café + dulce
desde $3.790

Lunes a viernes
08:00 a 10:00 hrs.

TO GO

CTA:
Pasa por Between y llévalo contigo.",,"ST INTERACTIVA – EMERGENCIA BETWEEN

Visual:
Gráfica inspirada en una caja de emergencia con vidrio y el clásico mensaje “Romper en caso de…”. Dentro, en lugar de un objeto de emergencia, aparecen distintos favoritos de Between: un café, un croissant/pastelería y un sándwich. Todo fotografiado de forma atractiva y con estética Between, evitando que parezca una caja de emergencia real.

Texto principal:

ROMPER EN CASO DE ANTOJO 

Si solo pudieras sacar uno primero…

¿CUÁL TOMARÍAS?","ST ANIMADA – ASÍ SE HACE TU CAFÉ

Visual general:
Fondo limpio y cálido, inspirado en los tonos de Between. Sobre él van apareciendo, una a una, fotografías reales en formato Polaroid del proceso de preparación de un café. Las fotos pueden entrar ligeramente giradas y superponerse entre sí, construyendo al final una especie de collage.

ESCENA 1

Visual:
Primera Polaroid: colaborador de Between comenzando la preparación.

Texto:
Un buen café empieza mucho antes del primer sorbo. 

ESCENA 2

Visual:
Aparecen nuevas Polaroids con detalles del proceso: molienda, extracción del espresso y preparación de la leche.

Texto:
Preparado al momento,
paso a paso.

ESCENA 3

Visual:
Nueva fotografía mostrando el latte art o la terminación de la taza.

Texto:
Y con ese último detalle
que lo hace muy Between.

CIERRE

Visual:
Todas las Polaroids quedan distribuidas en pantalla y, sobre ellas, aparece una última foto del café terminado.

Texto:
De nuestras manos
a tu mesa. 

CTA:
Ven por tu café a Between.","PROMOCIONES DESAYUNOS 

(POR CONFIMAR)","ST INTERACTIVA – ¿CUÁNDO ES HORA DE CAFÉ?

Texto:

EL MEJOR MOMENTO PARA UN CAFÉ ES... 

Respuesta correcta:
Obviamente, D. Todo el día.

Cierre:
Para cada hora, hay un café esperándote en Between.","ST ESTÁTICA – COWORK | YA ABRIMOS

Visual:
Seguir la composición de la referencia con una fotografía vertical tomada desde una de las mesas de Between. En primer plano, una mesa de madera con notebook abierto + café Between + libreta o algún elemento de trabajo. Al fondo, parte de la cafetería para contextualizar el espacio.

Texto en imagen:

PUEDES VENIR,
¡TE ESPERAMOS!

Ven a trabajar desde Between.
Tenemos una mesa para ti. 

LUNES A VIERNES
08:00 a 22:00 hrs.

Cierre pequeño:
WiFi · Café · Espacios para trabajar","ST ESTÁTICA - SALUDO 18 SEPT

Texto principal:

POR LOS SABORES QUE NOS REÚNEN.

Que estas Fiestas Patrias estén llenas de buenos momentos, sobremesas y mucho para compartir.

¡Felices Fiestas Patrias!",,"ST ESTÁTICO – STRUDEL DE MANZANA 

Visual:
Composición editorial dividida en 4 fotografías, cada una enfocada en un ingrediente principal del Strudel. Fotografías cercanas, muy sensoriales y con iluminación cálida, manteniendo una estética coherente entre los cuatro cuadrantes.

Imagen 1: Masa dorada, destacando sus capas y textura.

Imagen 2: Manzana cortada, fresca y protagonista.

Imagen 3: Canela en rama y/o espolvoreada.

Imagen 4: Nueces, con foco en sus formas y textura.

Texto principal:

CUATRO INGREDIENTES
QUE SABEN MEJOR JUNTOS.

Texto complementario:

Masa · Manzana · Canela · Nueces

Strudel de manzana. 

","ST ESTÁTICA – PRIMAVERA EN BETWEEN

Visual:
Fotografía protagonista del milkshake sobre una mesa de la terraza de Between. Fondo luminoso y desenfocado, con luz natural y una sensación fresca de primavera. El producto debe ocupar el centro de la composición.

Texto recomendado:

LA PRIMAVERA
SE DISFRUTA ASÍ. 🌸

Un milkshake, nuestra terraza
y una pausa al sol.

Ven a disfrutarlo en Between.

",,"ST ESTÁTICA – HUMOR | CAFÉ TO GO


Visual:
Imagen intervenida de una chica caminando con un vaso de café Between exageradamente grande, incluso más grande que ella. La chica debe verse haciendo esfuerzo por cargarlo, como si literalmente estuviera llevando “el peso” de sus ganas de café.

Texto principal:

POV:
YO CARGANDO EL PESO
DE MIS GANAS DE CAFÉ.","ST ESTÁTICA – ANIMADA | PLATEADA AL CARMENERE

Visual:
Fotografía cenital o en ángulo 45° de la Plateada al Carmenere recién servida en una mesa de Between. Alrededor, elementos que sugieran una pausa de almuerzo real: notebook cerrado, celular, anteojos o libreta. Luz natural y composición lifestyle, evitando una fotografía demasiado producida de carta.

Texto principal:

¿EL ALMUERZO SE QUEDÓ EN CASA?

Tranqui, el plan B
se ve bastante mejor por acá. 

Plateada al Carmenere

Cierre / CTA:
Haz tu pausa de almuerzo en Between."
REFERENCIA,,REF,REF,,,,,,REF,REF,,REF,REF,REF,,REF,REF,,REF,REF
INTERACCIÓN,,LINK CARTA,"Icono "" 🎁 """,,,LINK CARTA,UBICACIÓN,,"[STICKER QUIZ / ENCUESTA]

☕ Café
🥐 Algo dulce
🥪 Algo salado",,,"[STICKER QUIZ]

A. En la mañana
B. En la tarde
C. En la noche
D. Todo el día ✨",LINK CARTA,,,"Ícono ""🍎""",LINK CARTA,,,LINK CARTA
HORARIO,,,,,,,,,,,,,,,,,,,,
COMENTARIOS CLIENTE,,,,,,,,,Agregar opción todas las anteriores,,,,,,,,,,,
COMENTARIOS DISEÑO,,"Ok, enlace a carta!","Mismo comentario del legal


Adaptemos tal cual la gráfica de feed, en 2 partes (considerar los últimos 2 ajustes)


Tomemos mismos textos de la publicación de feed, manteniendo imagen de fondo de esta propuesta, pero que el vaso tenga logo

Cambiar de fecha por la interactiva emergencia

Darle una vuelta a la palabra cafeína, puede sonar a algo negativo quizás dejar el segundo texto solamente",,,"Agreguemos legal imagen referencial y OK


Cómo mostraremos la leche condensada al principo?","Eliminar PASA POR BETWEEN y llévalo contigo
Que diga Café + Dulce To Go - desde

Con eso ok!


Café con logo Between!",,"Si solo pudieras sacar uno.... con eso OK


Cambiaría que el salado sea un crosant jamon queso y que el dulce sea un muffin



No se cacha bien al tapar la vitrina con el texto, veamos otra diagramación?","Podemos usar fotos en que no salga directamente Nico? que se vean sus manos solamente




Ok, aprovechemos el viernes de sacar estas fotos para que se vea bonito",,,"Saquemos el ''Puedes venir'', reemplacemoslo por Cowork, para dar contexto

Se puede entender que estuvimos cerrados, démosle una vuelta a ese texto","Para no redundar, pongamos ¡Feliz 18 de septiembre! con eso super ok",,Eliminar MASA y agregar legal Imagen referencial,Agregar legal Imagen referencial,,,
ESTADO,,YA POSTEADO,APROBADO,,,YA POSTEADO,YA POSTEADO,,YA POSTEADO,YA POSTEADO,PENDIENTE POR CLIENTE,YA POSTEADO,APROBADO,APROBADO,,EN CAMBIOS,EN CAMBIOS,,OK PARA DISEÑAR,OK PARA DISEÑAR
